geo_name|st|White Alone|Black Alone|Total White and Black
Newton County|GA|53754|40878|94632
Oconee County|GA|29004|1635|30639
Oglethorpe County|GA|11662|2566|14228
Paulding County|GA|110517|24321|134838
Peach County|GA|13383|12715|26098
Pickens County|GA|28171|312|28483
Pierce County|GA|16293|1666|17959
Pike County|GA|15606|1837|17443
Polk County|GA|31974|5190|37164
Pulaski County|GA|7679|3824|11503
Putnam County|GA|14408|5522|19930
Quitman County|GA|1290|1204|2494
Rabun County|GA|15185|156|15341
Randolph County|GA|2827|4769|7596
Richmond County|GA|79624|108633|188257
Rockdale County|GA|38187|39559|77746
Schley County|GA|3658|1169|4827
Screven County|GA|7965|6318|14283
Seminole County|GA|5594|2916|8510
Spalding County|GA|40148|21030|61178
Stephens County|GA|22286|2845|25131
Stewart County|GA|1696|2864|4560
Sumter County|GA|13852|17001|30853
Talbot County|GA|2679|4065|6744
Taliaferro County|GA|640|1024|1664
Tattnall County|GA|15991|7465|23456
Taylor County|GA|5208|3503|8711
Telfair County|GA|9398|6017|15415
Terrell County|GA|3407|5700|9107
Thomas County|GA|26645|16497|43142
Tift County|GA|24645|11618|36263
Toombs County|GA|17728|6767|24495
Towns County|GA|10232|41|10273
Treutlen County|GA|4488|2247|6735
Troup County|GA|41216|22394|63610
Turner County|GA|4886|3712|8598
Twiggs County|GA|5123|3724|8847
Union County|GA|20668|99|20767
Upson County|GA|18693|7590|26283
Walker County|GA|63918|2829|66747
Walton County|GA|67057|13103|80160
Ware County|GA|24103|10721|34824
Warren County|GA|2152|3602|5754
Washington County|GA|9531|11173|20704
Wayne County|GA|22558|5996|28554
Webster County|GA|1512|1185|2697
Wheeler County|GA|4552|2614|7166
White County|GA|25824|457|26281
Whitfield County|GA|78623|3845|82468
Wilcox County|GA|5706|3252|8958
Wilkes County|GA|5616|4535|10151
Wilkinson County|GA|5598|3672|9270
Worth County|GA|15232|5978|21210
Hawaii County|HI|62348|1020|63368
Honolulu County|HI|198732|19256|217988
Kalawao County|HI|24|0|24
Kauai County|HI|22159|278|22437
Maui County|HI|53336|870|54206
Ada County|ID|354347|4441|358788
Adams County|ID|3821|5|3826
Bannock County|ID|74401|625|75026
Bear Lake County|ID|5767|6|5773
Benewah County|ID|8039|28|8067
Bingham County|ID|36752|105|36857
Blaine County|ID|18157|39|18196
Boise County|ID|6703|15|6718
Bonner County|ID|39261|58|39319
Bonneville County|ID|94411|585|94996
Boundary County|ID|10398|29|10427
Butte County|ID|2761|6|2767
Camas County|ID|1051|3|1054
Canyon County|ID|156750|1077|157827
Caribou County|ID|6637|4|6641
Cassia County|ID|18781|64|18845
